text,location,latitude,longitude
"Pioneer is known for: The house of the first governor of Arizona can be found here. The house is haunted by his young daughter, who died of pneumonia long ago. People who have been there at night have experienced sudden coldness, the sight of things moving by themselves, and whispering voices.",Arizona,34.395342,-111.763275
"San Carlos Hotel is known for: Built in the 1920s, the hotel is haunted by Leone Jensen, who killed herself there. The ghosts of children are heard, running up and down the stairs. It seems the hotel now occupies the site of the first elementary school in Phoenix.",Phoenix,33.4484367,-112.074141
"Dudleyville is known for: Lepsy - Near or around the reservation, it is said that in the late 1800's, a man whose last name was Lepsy, would hire Chinese and other minority workers. When the work was done, however, he would burn the workers instead of paying them. The sheriff and a posse went in to get him, and they were burned too. When you pass through the canyon, you will see charred walls, smell a disgusting aroma, hear screams, and feel horrible/agonized energies.",Dudleyville,32.9087035,-110.7220611
"Angeline's Grave is known for: For years many people have seen the ghost of Angeline. She was a small girl, that rumor has it died in the 1800's from a plague, while traveling in a wagon train headed west. There have been several sightings of Angeline. There have also been experiences, such as tiny handprints on the outside windows of cars, and bad mishaps for those that try to steal her headstone. She has even been sighted near the area a few miles from her grave in search of her mother. Her grave is the only grave in the direct location area. It is fenced, has a headstone and a single tree, and is located near Lynx Lake and Diamond Valley, right outside of Prescott.",Diamond Valley,34.56808,-112.375166
"Lynx Creek Farm Bed &amp; Breakfast is known for: Sharlot Hall - Visitors report cold spots, and the feeling of not being alone. A definite presence is felt in this room. The eyes of the portrait in this room follow you wherever you go.",Breakfast,55.7579096,37.5973729
"Roosevelt Lake is known for: A lot of things happened here. There are rumors of an Indian burial plot that no one has found yet, or it could have been built over by a trailer park. Also a lot of workers died while building the dam. There is a strange presence that surrounds the lake.",Roosevelt Lake,41.783745,-71.416276
KC Moore's Bar and Grill is known for: A woman haunts the upstairs banquet room and an unknown man or woman has been seen in the downstairs bar area. This is a very old building in old town Tempe. It used to be a house built in the 1930's or 40's,Tempe,33.4255117,-111.940016
"Trails Store on Mill Avenue is known for: The building used to be a Mountain Bell phone company building. Early in the 1900's, a young woman who worked for the company, committed suicide on the second floor of the building near the bathroom. The lower level is occupied by a part of the Trail’s retail store chain, but the second floor stood empty for years. There were footsteps reported coming from upstairs, when the second floor was gutted and empty. There have been reports of the young woman wandering the stairwell, and standing in front of the locked door to the first floor, which has since been boarded over and covered up. The photo booth that used to be in the Trails store had to be removed, due to the machine taking pictures when no one was in the booth. The developed pictures often showed nothing, but a bright white ball of light, whether someone was in the booth or not. The doors to the offices and bath rooms on the first floor are often heard opening and closing, when no one is near them. Many employees and customers over the years have reported a strange feeling when in the store. Some have gone as far as to refuse to be left alone in the store after dark.",Mountain Bell,37.4743702,-108.5053275
"Desert Views Ranch is known for: There is a young girl dressed in prairie clothes, wearing a white apron, that wanders in the area of the old chicken coop and horse corral. She is said to have died from a fever. She will sometimes laugh, and be seen standing by an old tree. Younger children have talked to her, and have said her name is Lillian.",Lillian,30.4098483,-87.4396049
"St. Mary's Hospital is known for: There are a number of different experiences, including people seeing someone walking into an elevator and then disappearing, elevators opening into strange places, strange people riding on the elevators with staff, etc. But the majority of the stories revolve around a nun on the fourth floor. One night, one of the nursing staff was looking down the 4 North Hallway, and saw a nun standing in the middle of the hall, pointing into a room. The staff member went to see what was going on, but when she got there, the nun had disappeared. In the room that she was pointing at, there was a female patient who was suicidal and was attempting to take her life. The nun was warning the staff. It is, presumably, the same nun that walks with staff along the hallway going from the North halls to the West halls. Staff has seen her reflection in the glass windows at night. She follows them as they walk the halls.",St. Mary's Hospital,51.5174403,-0.1743231
"Yuma County is known for: Hotel Lee - At least three spirits have been seen by guests and employees of the Hotel Lee. One ghost is of a young teenage girl, usually seen late in the evening, carrying towels down the back hall. The other is believed to be the original owner of the hotel. She is seen walking the halls late at night, and has been known to knock on, or rattle the doors of the rooms. The third spirit is that of an Indian woman, believed to pre-date the hotel. She has been seen hovering above the guest’s beds, and is known to take small screwdrivers and awls, later to return them to odd places.",Yuma County,40.0163487,-102.458253
Truxton Park-Witches Grave is known for: This is found at Truxton park in Annapolis right across from Spa Cove apts. You go in the woods past the 3rd baseball field and you'll see a slanted tree where the witch was buried and escaped in the 1800's never to be seen again now it is rumored that on Halloween if you go deep enough into the woods you can see the bodies of the people the witch got hanging from trees.,Annapolis,38.9786401,-76.492786
Cardinal Gibbons School is known for: The school used to be St. Mary's industrial school what housed the infamous Babe Ruth as a small child. Some teachers say that his ghost haunts the school from time to time. One specific ghost story happened when the Atheletic Director was in the basement of the gym late at night. He heard a ball bouncing and when he went upstairs all the lights were on. No one could have gotten into the gym and the lights would have taken at least 10 minutes to warm up. No body to this day can explain it.,St. Mary's,49.9203409,-6.2928791
"Dundalk is known for: Todds farm - dates back before the war of 1812. This home has been the site of many hauntings. And is said they are turning it into a museum. A ghostly woman can sometimes be seen in the attic window with a candle waiting for her soldier to come home from the war---he never does. Late at night you can sometimes see slaves hanging from the trees. The family cemetery is located directly behind the house. It has been said that although there is no electricity in the house, now, if an intruder enters, lights will turn on. There are so many spirits not at rest here.",Dundalk,54.0046033,-6.4008879
"Fort McHenry is known for: The Fort was used throughout history in guarding Baltimore Maryland. Many stories of ghosts and ghostly activity include: a shadowy figure marching along the parapets, an evil spirit in the hallway leading to the bathrooms, floating or moving furniture, tour guides during the Ghost Tour being surrounded in unearthly light, and voices heard by employees after the Fort has been closed to visitors. The stories are well known by local residents and many people who worked at the Fort or visited it can attest to these occurrences.",Baltimore,39.2908816,-76.610759
"Lansdowne (English Consul) is known for: The area formerly known as ""English Consul"" (now Lansdowne) is a very big place for haunted activity. An old Mansion that sits atop a hill from the 1700's is the center of the activity. Lansdowne was once a plantation for an apple orchard. The mansion's garage was once a slave house, also, a tree not far from the mansion was used to tie slaves, (and as legend would have it the English consul's brother) and beat them. And to this day residents still see a glimpse of someone tied to the tree.",Lansdowne,39.9381682,-75.2718507
"Mount Wilson State Hospital is known for: Reisterstown Road to Mount Wilson Lane, go to end of road. Now called North Oakes Retirement Community. Mount Wilson State Hospital and Sanitarium closed in 1981. The buildings sat abandoned until 1990. Many high school students would visit this place. This was as they called it ""A creepy sky scraper in the woods."" Secluded on about 200 acres in Baltimore County, Md. Thousands of Tuberculosis patients were treated here during the 50's, 60's, and 70's. 1988 still hear patients yelling for help.",Baltimore County,39.4445243,-76.6483482
"Westminster Church is known for: featured on ""Sightings- The Ghost Report"" (you can rent it at a video store near you). The graves at this church date back to the 1700's. Edgar Allen Poe is buried here. Along side his wife Virginia. Famous ghost hunters have visited this place with their ghost hunting gear such as EMF (Electronic Magnetic Field Detector) and EVP ( Electronic Voice Phenomenon). A lot of ghost hunters have heard voices, seen, and felt the ghosts here.",Virginia,37.1232245,-78.4927721
"Upper Marlboro is known for: Six Flags America -  Believed to be haunted by the Hall Family (original owners of the land.) Behind The Wild One, Hall Manor house sits partially hidden. This area is off-limits. A grave that marks the only daughter of Eleanor Hall She died on her birthday. On that day in June, rides malfunction and other problems occur more than usual.",Hall Manor,40.2497243,-76.856762
Hunt Valley is known for: Hunt Valley Town Center - Several Co-workers of mine (security gaurds) have complained about wierd noises and the sense of dread over certain areas of the place. It used to be a old shopping mall but was torn down. Other incidences include..cold chills (even on warm days)abnormal Fog..and darkness and spots of light where there should be none. also there is a masonic temple on a hill. adjacent to the complex,Hunt Valley,39.4962709,-76.6542571
"South Mountain Inn is known for: There was recently a video made that was aired on TV, and included many ghost stories about the Washington County area. The video is named ""Legends,"" and can be ordered through Antietam Cable Television, and can sometimes be found in video rental facilities.",Washington County,30.2226352,-96.3936114
"Spook Hill Inn- Near the battle site Antietham there is a stretch of road that leads out of Boonsboro and towards several Civil War battle sites. If you drive your vehicle to the base of the steep hill and put your vehicle in neutral the Ghosts of confederate army men will push your vehicle back up the slight incline towards Boonsboro. It is said they are pushing cannons and artillery pieces. Sometimes you can hear laughter from the woods. is known for: March 2004 update: There was recently a video made that was aired on TV, and included many ghost stories about the Washington County area. The video is named ""Legends,"" and can be ordered through Antietam Cable Television, and can sometimes be found in video rental facilities.",Boonsboro,39.506926,-77.6522171
"Daisy Lane is known for: Believed to be haunted by girl who was abducted, killed and dumped on Daisy Lane in Bowie, Maryland.  the articles about it dated from 1995 in The Washington Post. Just in case you're interested... APPARENT ABDUCTION, SLAYING END TEENAGER'S PROMISE Jon Jeter Washington Post Staff Writer March 22, 1995; Page B1 Section: METRO Word Count: 840 AND ALSO... POLICE SEEKING CAR POSSIBLY USED IN ABDUCTION-SLAYING – any info, please contact the police.",Bowie,33.4198886,-94.4479626
"Almes Mansion is known for: Faces seen around house and inside house. voices of a woman, a child and a man heard. Things being thrown and moved.",Mansion,17.3827474,-62.7583022
"Henryton is known for: An abandoned sanitarium which later was used for treatment of ill-minded African Americans. On Henryton Rd. off of Marriottsville Rd. During the night time many of the rooms feel cold, as well as during the day, you can see people out of the corner of your eye until you turn and look, they disappear.",Henryton Rd,39.3608381,-76.9240555
"Belmont Conference Center is known for: The Belmont house was built in 1738, and there is reported to be many different ghosts in the house and on the grounds, as well as in the family cemetery. Pictures come off the walls, knives move across tables, and glasses break by themselves. There is supposedly a man who regularly appears in the bar area, holding a beer. A daughter of a patron described in detail five ghosts that she saw, including a young girl, about 2 years old. She even said that one ghost had his hand on her parent’s shoulder, trying to get their attention.",Belmont,48.4095949,7.234863
Hazelhurst is known for: Lilburn - It has been called the most haunted location in Maryland. Instant creepy feelings even when just looking at the place.,Maryland,39.5162401,-76.9382069
Mount Saint Mary's College is known for: Father John DuBois is sometimes seen walking the campus. Several Ghosts have been seen in dorms Brute and DuBois. This school has a history of ghosts and it is the oldest independent Catholic college in the country. It was founded in 1808.,Brute,46.6415208,14.7318459
"NTTC DET DINFOS Navy Student Detachment is known for: about 3 years ago, a story ran in the news paper here on Fort Meade about three buildings(between Kimbrough and the Officer's Quarters) in which experiments where being done on soldiers. (Drugs like LSD, Acid, mixed drugs, trying to make ""super soldiers"") the next day the buildings were destroyed, grass was put down as if the buildings were never there to begin with. these buildings here one day and literally gone the next. There is also a cold storage morgue out here on Fort Meade that they used to bring in bodies from all over the place (that had been exposed to different agents, nerve gas, diseases) that would be experimented on also. The morgue is still here. students report of hearing people talking, walking around, and banging.",Fort Meade,27.7522526,-81.8017491
Fredrick Campus is known for: Maryland School for the Deaf - the school was founded in 1868. There is an old barracks that was once used during the Revolutionary War to house captured Hessian soldiers and it still is there on campus -- its an old stone built building and has been converted into a museum of sorts and is not opened to the public regularly -- anyway -- story has it that you would see the spirits of those wounded in combat in the barracks moaning and the hospital equipment from that era is still in the bldg as is the furniture and such.,bldg,10.68267,-61.5704183
The Old Depot is known for: There is this old train station in Frostburg Maryland. The Depot has an old tunnel that goes under Main Street. Reports of hearing the sounds of train whistles.,Frostburg,39.6583325,-78.9284241
"maryland ghost is known for: if you go into the chapel[mausoleum] at gardens of faith,and are very quiet it sounds like faint voices haveing a conversation.A man took his life by the creek a few years back and you get an erie feeling down there.",maryland,39.5162401,-76.9382069
Prince Georges County is known for: NASA Building 26 - In the early days of NASA being built in Greenbelt the need for many buildings was certain. Building 26 was planned not to shortly after many others. During the construction of building 26 many human bones were found almost in a line but also in a circle. No one is sure what came of these bones but it is said to this day that that building 26 was built over an Indian burial ground. To this day guard officers and employees late at night swear to hear the sound of drums beating and lights have been known to go off and on.,Prince Georges County,38.8829136,-76.8571711
Prince Georges County is known for: NASA/GSFC - B & W Parkway Gate -  A man jogging early in the morning in a grey sweat suit slowly disappearing in front of you....also he has been seen on the perimeter road!(bldg #26 is the closest bldg to this gate),Prince Georges County,38.8829136,-76.8571711
Prince Georges county is known for: NASA/GSFC - Bldg #05 - A strong sense of dread in the whole bldg! especially in the rear of the bldg. strange sounds throughout the bldg...especially on the upper floors!,Prince Georges county,38.8829136,-76.8571711
"Prince Georges county is known for: NASA/GSFC - Bldg #07/10/15/29 complex - late one night, there was a guard that had duty in this complex of buildings. She was watching TV in the area where her desk was! she heard some one coming up the stairs. she got up to look and no one was there. as she was watching and looking she heard the footsteps go down the stairs...she shook it off and figured it was her imagination...until it happened again...only this time when the step went down she saw the door open and a small trash can lid flip over several times and the outer most door opened...this guard refused to ever step foot in this bldg again. another guard was walking up the stairs when he passed through what appeared to be a dark spot/ or shadow...this spot was the shadow of a man he saw the shadow proceeded down the stairs past him! yet another guard was looking down into the clean room and saw what appeared to be a shadow of a man glide across the floor! This complex was the sight of a death, while the High bay was being built, a worker fell from the scaffolding and fell to his death! the rest of the building shares various sightings! And strange feelings and occurrences!",Prince Georges county,38.8829136,-76.8571711
"Prince Georges county is known for: NASA/GSFC - Bldg #08 Admin - statue of Robert Goddard follows you with his eyes. most issues! always feel strong dreadful feeling! always feel like someone is watching you! Basement strong feelings of sadness and dread! sixth floor directors office, and hallway outside of pictures of all the directors! they always follow your every move!",Prince Georges county,38.8829136,-76.8571711
Prince Georges county is known for: NASA/GSFC - Bldg #1 - feel as if someone is following you or watching you late at night!,Prince Georges county,38.8829136,-76.8571711
"Prince Georges county is known for: NASA/GSFC - Bldg #11 - feel as if someone is watching you...or will pop up right around the corner if no one is around! Late one night a guard was doing his rounds, when he was waiting for an elevator. he heard voices and laughter coming from the approaching elevator when it opened no one was there...he refused to ever go in the building again! Also a extreme feel of dread falls over you if you are alone!",Prince Georges county,38.8829136,-76.8571711
"Prince Georges county is known for: NASA/GSFC - Bldg #12 - Extreme feeling of dread, or the feel like something will happen to you if you go into the penthouse or attic area! the third floor has a similar yet not as strong feeling! the same feeling gets worse the higher you go in the building!",Prince Georges county,38.8829136,-76.8571711
Prince Georges county is known for: NASA/GSFC - Bldg #16 & 16w - Back side of w by water tower/ and mail room has the most issues! always feel strong dreadful feeling! always feel like someone is watching you!,Prince Georges county,38.8829136,-76.8571711
"Prince Georges county is known for: NASA/GSFC - Bldg #17 - second floor has cold spots, and feels like someone is watching you.",Prince Georges county,38.8829136,-76.8571711
Prince Georges county is known for: NASA/GSFC - Bldg #18 - second floor computer room/office area - feels though some one is watching you(BLDG if 400 yards from Bldg 26),Prince Georges county,38.8829136,-76.8571711
Prince Georges county is known for: NASA/GSFC - Bldg #22 - feels like some one is playing games with you! Reports of a death in the early years of the center in this building!,Prince Georges county,38.8829136,-76.8571711
"Prince Georges county is known for: NASA/GSFC - Bldg #23 - cold spots on the loading dock, and in an office on the second floor!",Prince Georges county,38.8829136,-76.8571711
"Prince Georges county is known for: NASA/GSFC - Bldg #25 -  strange occureances, and strange feelings throughout!",Prince Georges county,38.8829136,-76.8571711
"Prince Georges county is known for: NASA/GSFC - Bldg #26 -  Many guards on nights and weekends have had a many strange experience at this bldg! Indian chiefs being seen in windows from the outside of the bldg. Bell being heard. Feelings as if someone was hung in a room under the loading dock of the bldg. a guard at NASA got a call one night on the radio to call the comm center, so they went in an office to do so! they heard some one typing on a computer keyboard....being there are people that work all hours of the night they figured nothing of it....when they was done they rounded the corner to find no one sitting there and only a key board no computer!",Prince Georges county,38.8829136,-76.8571711
"Prince Georges county is known for: NASA/GSFC - Bldg #27 Motor pool - strange feelings, feelings of people watching you from the bldg at night. Feelings of dread",Prince Georges county,38.8829136,-76.8571711
Prince Georges county is known for: NASA/GSFC - Bldg #28 - always feels like someone is watching you in the atrium! A strange fire in a trailer just outside of the bldg!,Prince Georges county,38.8829136,-76.8571711
Prince Georges county is known for: NASA/GSFC - Bldg #97 health center side - feels as if someone is still in the building after it closes....feels like someone is following you! alarms going off in the building when no one is there!(right next to bldg 26),Prince Georges county,38.8829136,-76.8571711
"Prince Georges county is known for: NASA/GSFC - recreation center - feels as if someone is watching you, feeling of dread!",Prince Georges county,38.8829136,-76.8571711
"Prince Georges county is known for: NASA/GSFC - Visitors center - a feeling that the statue of Goddard is always watching you, seeing shadows!",Prince Georges county,38.8829136,-76.8571711
"Jericho Covered Bridge is known for: This bridge is the last covered bridge standing in Harford County, built in the early 1800's. Legend has it that several lynching occurred at this bridge during and after the Civil War, in which the captured people were hung from the upper rafters, sometimes many at a time. If you stop your car on the narrow bridge late at night, and look in your rear view mirrors, the image of a swinging body can be seen.",Harford County,39.548545,-76.3048991
"Riviera Beach is known for: Riviera Beach Volunteer Fire Company - An old Chief of the fire station named Edwin who died in a fire. Is said to walk around the Fire station at night closing doors, making loud noises and seen sometimes cleaning the fire engines and seen in mirrors and windows. The old hall above the fire station is always heard with pacing late at night loud booms and few fire fighters have been visited by this ghost and have been able to tell about it. See the picture of him in the watch desk and his eyes follow your every move.",Riviera Beach,26.784343,-80.0650293
"Forest Haven is known for: An old shut down mental hospital and insane asylum, Multiple buildings, Its almost like a full neighborhood, but with institutes everywhere. Some buildings are still in use by the army, which is odd. Many things scattered throughout the buildings, Voices heard, tracks made on floor in water or something wet, dolls hanging from ceilings that are too high to reach. Dead animals, and a strange fog that sometimes you cant even see through until you are a few floors up in the buildings, various other scary things, a famous candy maker occupied this place, This is known due to the tombstone in a cemetery there that lists everyone’s name who died there.",Forest Haven,26.9198147,-82.0322689
"Patty Cannon's house/tavern is known for: the ghosts of some of the 100's of people she and her gang murdered. She ran the reverse underground R.R. - September 2005 Update/Correction: the ""Patty Cannon House"" is not really the Patty Cannon House---the history behind the Patty Cannon house was exposed on the PBS show ""History Detectives"". The historic marker is wrong. The real Patty Cannon house is no longer standing.",R.R.,25.7424233,-97.4728543
"Hollywood is known for: A Plantation Ever year they hold ghost tour of the plantation. It's on the Paxtent river so a few our of pirates and things like that. The tour guides said they always experiences paranormal activity. A family who used to live in the manor long ago was having trouble with money. So the husband of the house decided to invite some people of wealth over for a round of poker. Without much luck he continued to lose. In a last effort to win, he put the pink slip of the house on the table.. rolled the dice and lost. Supposeively to this day, you can hear the horses riding up, the dice rolling, and him yelling when he lost. For more info you can visit  http://www.sotterley.com/news_events.htm",Hollywood,34.0980031,-118.329523
"Beach Rd is known for: Behind all of the bushes and debris is an steep hill leading to an small pond. If you notice that two trees are intertwined with each other. If you would to walk under them, you will feel a sense of pressure around your arms and shoulders. Talking to industrial workers, they said that back in the 60's, a group of teens would go fishing in the pond and they wound climb the branches to jump in the water, then one drowned and was not saved by his friends. Two of the teenagers still frequent the spot.",Beach Rd,34.6960793,-120.5901157
Avonlea Bed and Breakfast is known for: Owned in Civil War times by a very cruel and abusive man. Known to be haunted by the ghosts of several slaves he brutally murdered in his basement.,Breakfast,55.7579096,37.5973729
"Rocky Hill Cemetery is known for: There is a tombstone in Rocky Hill Cemetery that bleeds. The woman it belongs to told her husband if he remarries and his new wife is cruel to her children her tombstone will bleed. They have changed the tombstone several times and the blood keeps coming back. They have an inscription in front of her tombstone that reads: This stone is at the grave of a mother who died leaving several small children. The husband remarried as husbands do, and tis' said that he and the stepmother were very cruel and unkind to the children, but Death could not this mother's anguish kill, when the knarled oaks groan, and the pine trees moan, in this grave yard at Rocky Hill, the tale oft told on many a lonely stretch, is that this stone breaks out in bloody sweats, in this grave yard at Rocky Hill. The cemetery is located in Woodsboro on Coppermine Road. the tombstone is located in the left hand corner 3 rows back in the middle of the row. There is a small stone on the left hand side and two on the right hand side bearing the names of George and Mary Fox.",Woodsboro,28.2382871,-97.3243804
"Haunted Hill is known for: When you have your car to where you are about to go up the hill and you turn your car off and, put your car in neutral. It is believed that there where some guys that were hung years ago will push your car up the hill. - Directions to haunted hill : Take Hwy. 11 going north past the airport, follow to highway. 75 north to Bartlesville. Follow that road for like thirty minutes and then you will se a tractor place on your left. Turn left after it. Go straight for like 3 miles or so. You will go over a bridge and then railroad tracks, keep going straight. Then you will come to a ""Y"" in the road, the ""Y""'s street sign will say GAP ROAD just go straight until you come to a curve that curves left. Don't take the curve, turn around and go up a few feet. TURN OFF YOUR CAR, PUT IT IN NEUTRAL, WAIT A FEW SECOND AND YOU WILL FEEL THE GUYS PUSHING YOU UP THE HILL.",Bartlesville,36.7421089,-95.9528877
"Jessie Creek Cemetery is known for: Outside of Bartlesville, near the infamous ""haunted hill"" and Circle Mountain there is an old abandon cemetery off County Road 2700. The cemetery sits in an open field/space next to a small, abandon lawn and landscape business. It's hard to spot the cemetery driving past because it sits off into the edge of the woods and is so overgrown that it takes a good eye to see it though the forest. Electrical problems have been reported with digital cameras",Bartlesville,36.7421089,-95.9528877
"Byng High School Auditorium is known for: There are actually two ghost stories that have made their way into the Byng auditorium. One is of the little girl that fell off the back of one of the modules. The little girl is said to sing, ""I dropped my dolly in the dirt"" near the back of the auditorium. The other is of Sally Engels who was a senior at Byng. She was a drama queen and when she graduated, she when to be an actress. She committed suicide because she was a perfectionist and could never get her body to look like she wanted it to. Lights have been known to flash, things have been known to drop out of the ceiling, and a certain doll has been known to move throughout the auditorium. Module doors that are locked have been opened and ""Sally"" has made several appearances.",Byng,34.8611959,-96.6655688
Timberidge Cemetery is known for: 6 miles east of Catoosa on highway 412 sets a small community cemetery. the cemetery sets on the edge of an area known to local residents as haunted hallow. It is said in 1989 a young Indian boy was struck by a car while sopped on the road on his bike. he was buried in the cemetery on the first row in the gate. the gate sits at the bottom of the hill and since 1993 drivers have claimed as they came over the hill spotting a young boy kneeling next to a bike. some have swerved to miss him and others distinctly hear the sound of the car striking something but when they inspect the rode no body is found. some claim to even spotted bloody hand prints on the fenders. And Catoosa police department have on file several reports of drivers saying they struck a boy on a bicycle in front of the cemetery gate and even photos of minor damage to the cars but no body has ever been found. also several teenagers trespassing on the wooded lot in front of the cemetery have claimed to have sudden nose bleeds and spot glowing objects above the graves...it is rumored that the cemetery gate has been seen by the caretaker to open itself and several have quit....,Catoosa,34.8911137,-85.131315
"The Mines is known for: Coalgate was once a boomtown for foreigners who came to work in the coalmines back at the turn of the century.  When the mines gave way and became strip pits---some of these are so deep they've not been measured.  For this reason, they were easy targets for mobs from the east coast to dispose of ""unwanted"" or ""no longer needed"" mobsters.  Remains have been found and traced back to east coast mob activities throughout the years in some of these remote (and deep) strip pits.  Several cars from New York, New Jersey and Illinois along with some remains, unidentified, of course, have been brought up out of the watery graves!",New York,40.7127281,-74.0060152
"Black Post Road is known for: 5 miles east of town, there is a large black post standing alone just south of the highway. this post marks the road where several blacks that were in washita county were hung. if you drive south almost 2 miles, there are many large, old oak trees. It is said that many people driving the road at night have seen outlines and silhouettes of the black people who were hung in the trees, and some have even seen small groups of white men on horseback holding lanterns, with the thick ropes they used draped across the saddles of the horses.",washita county,35.2917033,-98.9966972
Route 66 to Weatherford is known for: Sightings of an old humped over man in a brown trench coat wearing Bogie style hat pulled down over his eyes walking on Route 66 between El Reno and Weatherford when it is raining. One person reported he picked the man up and started witnessing to him about religion and the old man tried to jump out of his moving car. Another person reported he thought he hit this man and stopped to see if he was dead and there was nothing there. More info found at www.route66clicks.com/ghost.html.,Weatherford,32.7589648,-97.7970748
"Logan County Jail is known for: The Logan County Sheriff's Office and Jail have been in the same building since 1898. Since then, many inmates have hung themselves, mainly in the kitchen, while others have been inside the jail cells. Even with the lights on (they never go off) you can hear odd noises once everyone falls asleep, and I have seen things appear in the cameras faced into the cells. in the kitchen, several trustees and inmates that took their own lives up until about the 50's. All of the deaths at the jail are on record. Apparitions walking into the kitchen a man hanging from a rope in the kitchen. Things also liked to move by themselves, like the door would slam while while workers where in there in there and lock behind them.",Logan County Jail,40.1454852,-89.3592183
Territorial Governor's Mansion is known for: voices and moving objects have been observed here.,Mansion,17.3827474,-62.7583022
"The real ""Cry Baby Bridge"" is known for: The original cry baby bridge is in the town of Kellyville. It has spawned many urban legends, (Kiefer, Schulter, Catoosa, and there are 3 more fake ones in Kellyville.)The road has been completely re-routed, and the bridge is no longer standing. The original legend goes like this: Legends states that if you go there you can sometimes hear, or see the woman looking for her baby in the form of a glowing soft blue light.",Kellyville,35.9436968,-96.2136136
"Governor’s Mansion is known for: The Governor’s Mansion was said to be a School for girls back in the early 1930's to the late 1940's but was later shut down for reasons still unknown. However the house is located right by an old Indian cemetery, which is said to be haunted by the lost souls, in any case the house is guarded by an eight-foot fence wrapped with barbwire. Its said that strange things will happen to anyone who goes to visit the Mansion, things such as flashlights quitting after you enter the gate, softening of the ground, even the playing of an old abandoned piano which will play as soon as you step up onto the porch. Some even say the have spotted an old Indian playing the piano.",Mansion,17.3827474,-62.7583022
"Violet Cemetery is known for: Formerly listed as Sacred Heart Cemetery - growling noises - not like a dog - heard. This was near a grave that read ""murdered by human wolves"" Lights were pointed everywhere nothing was seen. - November 2003 update: the murdered by human wolves grave is not in sacred heart cemetery. its in a little cemetery just off the highway outside of Konawa but before you get to sacred heart. The submitter does not know if you can actually hear dogs growling but its said the girl died after having a botched abortion and that's why the tombstone says murdered by human wolves.",Konawa,34.9599614,-96.7521698
"Fort Sill is known for: Army Base was built on former Native Lands and was the site of massacre in early (?)1800's. Sightings of native American spirits, and unusual noises common place. Also, home to grave of famous chief: Geronimo.",Fort Sill,34.7027408,-98.5074309
"Midwest City High School Performing Arts Center is known for: 5 years ago a janitor hung himself from the balcony, you can see a shadow up in the balcony when nothing is up there, things disappear, their are cold spots, it is a very violent presence.",Midwest City,35.4495097,-97.3967025
"Crybaby Bridge (east of Sooner Road) is known for: (one mile south, down 134 past Sooner.)a woman driving with her baby in the child seat, drove off into a ditch and died. The road has since been shutdown and the bridge that used to reach it is now a dilapidated wooden bridge that is impassable by car. Supposedly, that car is still in the ditch and you can see the child seat where the baby died. Some evenings, after you cross the bridge to the old abandoned road, you can hear the baby crying. -  January 2005 Update: A Resident near this area reports, both the pond, the road and the bridge are no longer there. The bridge was on Old Bryant, a dirt road that connectioned NE 12th st and NE 4th st. The car that is mentioned on your site was an old VW bug. It did not end up there as a tragic accident, it was put there by a group of kids who stole it off private property, stripped it, then pushed it over the bridge into a creek. Odly enough, there was a small pond nearby that used to feed off the creek,and the pond was locally known as ""crybaby lake"". The story behind that onis at one time, a couple where in a small boat fishing with their baby whenthe boat capsized. The baby was lost in the weeds and drowned. Supposedly you could go there at night and hear the baby crying. They were torn down due to housing developments about 8 years ago. The creek is still there, it serves as drainage for that part of town.",NE,17.7356214,9.3238432
"Family Land-Church is known for: There is a story that in the late 1800's or early 1900's a man and his wife and daughter where in their car or wagon going north through this land and they decided to camp over on the side of the road and rumor has it the man killed his family buried them somewhere on this land and then took his own life later on. people have seen the man and have heard the others screaming for help. there used to be a house there and the man spirit would take over everything he could and would hurt the family that lived in that house. Another story about this land is a native American woman walking down the side of the road and when you ask her for a ride she talks to you and says she's home and then she walks in the ditch and goes to the house that was torn down a few years back and she disappears in mid air. The church is located about 8 miles north of Sulphur, Oklahoma and its called Salem Church. It’s on the right side of the road by Carisel Farms. Rumors have it that you can pull in there and hear people talking and see them walking around the cemetery.",Sulphur,30.2365943,-93.3773783
"County Line Barbeque Restaurant is known for: The County Line barbeque restaurant is in a building once occupied by a Prohibition-era dance hall, gambling place and bordello. It was also a popular hangout for outlaw Pretty Boy Floyd who was originally from the Sallisaw area. Various employees have heard strange voices while working late at night, particularly up in the old bordello section, which is now used as attic storage space.",Sallisaw,35.4587305,-94.7879436
"Langston's is known for: The Langston's store in the Stockyards used to be a hotel and bar/dance hall, the hotel was upstairs and the bar/dance hall was downstairs. Back in the 1800's a girl named Patty was working in the area that is now the Women's boots and Children's department when her boyfriend shot her and killed her. Her sister Rose found out and hung herself upstairs in one of the hotel rooms, which now has the door to it nailed shut. Now the upstairs- which is now the internet office, alterations office and over stock room for Langston's is haunted by Patty- who is looking for her boyfriend and her sister Rose who is looking for Patty. If you stand at the bottom of the stairs, you get a creepy feeling your stomach and the feeling that you don't want to go upstairs. One of the girls who works there with me said once she went up there to get hangers, and the lights started flashing on and off. When she was walking to the stairs to leave, she heard someone behind her and then someone pushed her and she fell down the stairs and scraped up her back really bad.",Langston,34.5389756,-86.0744234
